oneway,fclass,miles,startlon,startlat,endlon,endlat
B,service,0.43207587728,-97.8525196004,30.0359633,-97.8518149996,30.0418850002
B,service,0.06579055164,-97.882168,30.0963279999,-97.88215,30.095373
B,service,0.07461973849,-97.8814890001,30.0963399996,-97.8813780004,30.0952610002
B,residential,0.02320755906,-97.8495720004,30.0841319996,-97.8493370004,30.0839569996
B,service,0.0540722591,-97.8525409998,30.0782879999,-97.853404,30.0785179997
B,service,0.08016018884,-97.8488168002,30.0896840002,-97.8501409997,30.0897489996
B,residential,0.06468671066,-97.9515319998,30.1952559998,-97.9522929998,30.1945889996
B,service,0.28702894393,-97.8316319996,30.0407609996,-97.8316519996,30.0449280002
B,residential,0.06971583407,-97.8188460998,30.0702960999,-97.8190830001,30.0693694996
B,residential,0.33554214683,-97.8386040001,30.0951959999,-97.8337379996,30.0961489998
B,service,0.04555798021,-97.91614,30.0807530003,-97.9168500003,30.0805160001
B,service,0.0995585342,-97.8877710002,30.0905060004,-97.8894331003,30.0905077999
B,service,0.17885525003,-97.881154,30.092527,-97.8829069999,30.0904250002
B,service,0.0574829123,-97.8787549999,30.0900150002,-97.8797130001,30.0899659997
B,service,0.173117448,-97.856446,30.0717919998,-97.8559688997,30.0739076999
B,residential,0.11842244634,-97.8145456002,30.0703441003,-97.8145570998,30.0686248996
B,residential,0.07842572405,-97.8123952996,30.0586750002,-97.8124097004,30.0598134996
B,service,0.13330353049,-97.7967740001,30.0442319996,-97.7989980002,30.0441939997
B,residential,6.39327004799,-97.967548,30.067604,-97.9437410002,30.1326100004
B,residential,2.5067967718,-97.9302840002,30.0964449999,-97.9466199999,30.0670119997
B,residential,0.18049354272,-97.9375859997,30.0946760002,-97.9346199996,30.0949949996
B,service,0.21542182181,-97.803695,30.0571550002,-97.8000999997,30.0571879999
B,residential,0.04195659816,-97.7920570002,30.0521729998,-97.7923979998,30.0516410004
B,service,0.43549355278,-97.8191220001,30.095881,-97.8223595001,30.1014775998
B,service,0.12689634109,-97.8268739996,30.0790479999,-97.8268739996,30.0790479999
B,residential,0.16024499759,-97.8573024001,30.0577125997,-97.8570311996,30.0598313997
B,service,0.20069606439,-97.8968059996,30.0457070002,-97.8993540002,30.0464870002
B,residential,0.08351285993,-97.8419919998,30.074644,-97.8433860003,30.0746450001
B,service,0.24557786347,-97.8490509998,30.1007519998,-97.8479769997,30.104188
B,service,0.03520804053,-97.8189219999,30.0965209998,-97.819277,30.0961135998
B,residential,0.08533475732,-97.8182390997,30.0957188001,-97.8195654,30.0953032
F,secondary,1.48905452761,-97.8137493,30.0989969,-97.8243863004,30.0794754
B,service,0.08435321646,-97.8450662999,30.0352609996,-97.8454346001,30.0345691997
B,residential,0.1221965072,-97.8036539999,30.0559199999,-97.8016160004,30.0559840002
B,residential,0.09850454667,-97.8306409998,30.0771129997,-97.8307779998,30.0784690001
B,service,0.09149479743,-97.8034979999,30.0481909996,-97.8050230001,30.0481260002
B,service,0.1644373879,-97.8034468996,30.0464517,-97.8061889999,30.046541
F,secondary,0.09813700027,-97.8243863004,30.0794754,-97.8254862999,30.0805063
B,residential,0.11925229517,-97.8266659999,30.078485,-97.8266659999,30.078485
B,residential,0.09106650986,-97.8250799996,30.0779379999,-97.8265859998,30.0780050003
B,service,0.10274640118,-97.8273849998,30.0796580001,-97.825692,30.0797170001
B,residential,0.11446200632,-97.8215640003,30.0702220002,-97.8196608001,30.0703123003
B,service,0.05302358184,-97.8158321002,30.1008222998,-97.8157056996,30.1001206002
B,service,0.06193174372,-97.828988,30.0770989999,-97.8289567998,30.0762097997
